session_id,teacher_question_professionalism,teacher_question_structuring,teacher_question_context,teacher_answer_customization,teacher_answer_systematicity,teacher_answer_expandability,teacher_context_dialogue,teacher_context_support,teacher_question_total,teacher_answer_total,teacher_context_total,teacher_overall
38,3.5,4.0,1.5,3.5,4.5,1.0,4.0,1.5,9.0,9.0,5.5,23.5
40,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,9.0
41,2.5,3.5,1.5,3.0,4.5,1.0,3.0,1.0,7.5,8.5,4.0,20.0
44,2.5,1.5,1.0,3.0,3.0,2.0,4.0,1.5,5.0,8.0,5.5,18.5
46,2.5,2.0,1.0,1.0,1.0,1.0,1.5,1.0,5.5,3.0,2.5,11.0
47,2.0,1.5,1.0,1.0,1.0,1.0,1.5,1.0,4.5,3.0,2.5,10.0
48,3.5,3.5,1.5,4.0,4.5,1.5,4.0,2.0,8.5,10.0,6.0,24.5
50,2.0,2.0,1.0,1.0,1.0,1.0,1.5,1.0,5.0,3.0,2.5,10.5
51,3.5,3.5,1.0,3.0,5.0,3.0,4.5,2.5,8.0,11.0,7.0,26.0
53,3.0,3.0,1.0,4.0,4.5,3.0,4.0,3.0,7.0,11.5,7.0,25.5
60,3.5,4.5,1.5,4.0,4.5,2.5,4.0,2.0,9.5,11.0,6.0,26.5
66,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,3.0,3.0,2.5,8.5
72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,8.0
74,3.5,5.0,3.0,4.5,3.5,2.0,5.0,2.5,11.5,10.0,7.5,29.0
75,3.5,3.0,1.5,4.0,3.5,1.5,4.0,2.5,8.0,9.0,6.5,23.5
78,4.0,5.0,1.5,3.5,3.5,3.0,3.0,3.0,10.5,10.0,6.0,26.5
83,2.0,1.5,1.5,1.0,1.5,1.0,1.5,1.5,5.0,3.5,3.0,11.5
91,4.0,3.5,1.5,4.5,5.0,3.5,4.0,3.0,9.0,13.0,7.0,29.0
92,2.5,3.0,1.0,4.0,4.5,4.0,2.0,3.0,6.5,12.5,5.0,24.0
95,3.5,3.5,1.0,3.5,3.5,1.5,1.5,1.5,8.0,8.5,3.0,19.5
97,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,11.0
98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.0,3.0,2.5,8.5
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,8.0
111,3.5,3.5,4.0,5.0,3.5,1.5,5.0,4.0,11.0,10.0,9.0,30.0
112,2.5,3.0,1.0,2.5,2.5,1.0,1.5,1.5,6.5,6.0,3.0,15.5
116,4.0,5.0,1.5,4.0,5.0,2.0,4.0,2.0,10.5,11.0,6.0,27.5
123,2.5,3.5,1.5,3.5,4.0,2.5,3.5,2.5,7.5,10.0,6.0,23.5
125,4.0,4.5,2.5,5.0,4.0,3.0,4.5,4.0,11.0,12.0,8.5,31.5
128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,8.0
130,3.5,4.0,1.5,3.5,3.0,1.0,3.0,1.0,9.0,7.5,4.0,20.5
133,2.5,3.5,1.5,3.5,4.0,1.5,4.0,2.0,7.5,9.0,6.0,22.5
