항목,항목코드,Pearson_r,Pearson_p,Spearman_ρ,Spearman_p,n
질문 영역,question_total_score,0.578455405313346,2.9202075465621277e-10,0.6285609812626989,2.531281420785001e-12,100
응답 영역,response_total_score,0.5729518150039339,4.68859873386681e-10,0.46583487829773396,1.0393796572239303e-06,100
맥락 영역,context_total_score,0.3916707475884392,5.5849487695683324e-05,0.4165894187969565,1.623731504549127e-05,100
종합 점수,overall_score,0.6436125485663544,5.11709159388174e-13,0.5681441980785884,7.040247946314932e-10,100
A1 수학 전문성,question_professionalism_score,0.5264379880396647,1.8489896303109564e-08,0.5137440075600793,4.5924652499502235e-08,100
A2 질문 구조화,question_structuring_score,0.4824340913705693,3.7203179874196427e-07,0.5319065263810996,1.2349954350794432e-08,100
A3 학습 맥락,question_context_application_score,0.3671501197795886,0.0001716526056524699,0.2576567787415613,0.009652759284095128,100
B1 학습자 맞춤도,answer_customization_score,0.5055964555602004,8.07758256365154e-08,0.40519976629723475,2.8909434677219997e-05,100
B2 설명 체계성,answer_systematicity_score,0.5635224479935939,1.0343236802315544e-09,0.4934055520384014,1.8301580940820378e-07,100
B3 학습 확장성,answer_expandability_score,0.3611421507599313,0.0002230111792080499,0.3171854680272215,0.0013024897791589101,100
C1 대화 일관성,context_dialogue_coherence_score,0.4426344882316789,4.002998039373362e-06,0.4515693299863538,2.409536029022657e-06,100
C2 학습 지원,context_learning_support_score,0.11893705122065118,0.23855508029352598,0.08379913569107492,0.40715247031169177,100
