id,conversation_session_id,evaluated_by,student_id,question_professionalism_score,question_structuring_score,question_context_application_score,answer_customization_score,answer_systematicity_score,answer_expandability_score,context_dialogue_coherence_score,context_learning_support_score,overall_score,question_total_score,response_total_score,context_total_score
824,72,96,60,1,1,1,1,1,1,1,1,8,3,3,2
826,374,96,54,5,5,3,5,4,1,4,2,29,13,10,6
827,234,96,68,4,5,2,5,3,1,4,2,26,11,9,6
825,338,96,68,4,5,2,4,3,1,5,1,25,11,8,6
828,100,96,57,1,1,1,1,1,1,1,1,8,3,3,2
829,339,96,72,4,5,2,5,4,3,5,3,31,11,12,8
830,51,96,48,3,2,1,5,5,4,5,4,29,6,14,9
836,196,96,58,1,1,1,1,1,1,1,1,8,3,3,2
831,44,96,40,2,1,1,4,4,3,5,2,22,4,11,7
832,203,96,58,3,4,1,2,4,2,2,1,19,8,8,3
833,155,96,59,4,3,3,5,3,1,5,1,25,10,9,6
834,237,96,70,4,5,2,5,4,2,2,1,25,11,11,3
835,292,96,38,4,3,2,5,3,1,5,1,24,9,9,6
837,239,96,66,3,5,2,5,3,1,5,1,25,10,9,6
838,179,96,52,4,5,2,5,4,1,5,1,27,11,10,6
839,349,96,38,2,4,2,2,1,1,1,1,14,8,4,2
840,337,96,70,4,5,2,5,4,2,5,5,32,11,11,10
841,147,96,54,4,3,3,3,5,1,5,1,25,10,9,6
842,380,96,44,4,3,2,4,3,2,5,1,24,9,9,6
843,317,96,30,4,5,2,5,5,2,5,4,32,11,12,9
844,371,96,48,4,5,2,5,4,3,5,3,31,11,12,8
845,142,96,71,3,3,2,4,4,3,5,5,29,8,11,10
846,60,96,54,3,4,2,5,5,4,5,3,31,9,14,8
847,206,96,61,1,2,2,5,4,3,5,2,24,5,12,7
848,264,96,30,4,5,2,3,4,2,5,3,28,11,9,8
849,357,96,40,3,2,2,4,4,2,5,3,25,7,10,8
850,38,96,33,3,3,2,4,5,1,5,2,25,8,10,7
851,97,96,70,3,2,1,1,1,1,1,1,11,6,3,2
852,301,96,35,3,4,2,5,4,1,5,1,25,9,10,6
853,364,96,48,4,4,1,5,4,2,5,3,28,9,11,8
854,359,96,36,4,5,2,4,4,2,5,3,29,11,10,8
856,296,96,38,1,1,1,3,2,1,2,1,12,3,6,3
