항목,질문,평균,표준편차,중앙값,최소,최대,N
시스템_쉬움,MAICE는 사용하기 쉬웠다,4.808510638297872,0.4490714028797273,5.0,3,5,47
AI상호작용_도움충분,AI가 공부하는 데 충분히 도움을 줬다,4.574468085106383,0.6166064508774174,5.0,3,5,47
개념이해_귀납가정,귀납 가정을 어떻게 써서 증명하는지 안다,4.574468085106383,0.6509084237688202,5.0,3,5,47
시스템_도움됨,MAICE가 수학 공부에 도움이 됐다,4.553191489361702,0.6855182310802431,5.0,3,5,47
개념이해_귀납법구조, 수학적 귀납법을 이용한 증명이 어떻게 구성되는지 이해했다,4.51063829787234,0.7766242565698628,5.0,2,5,47
시스템_계속쓰고싶음,앞으로도 MAICE를 계속 쓰고 싶다,4.48936170212766,0.8041290299213536,5.0,2,5,47
메타인지_모르는지알게됨, AI와 대화하면서 내가 뭘 모르는지 정확히 알게 됐다,4.425531914893617,0.8006703944077338,5.0,2,5,47
메타인지_다음질문알게됨,AI와 대화한 뒤 다음엔 뭘 물어봐야 할지 알게 됐다,4.425531914893617,0.773042572961846,5.0,3,5,47
질문능력_분명하게말함,질문할 때 내가 뭘 알고 싶은지 분명하게 말한다,4.340425531914893,0.8666927579743898,5.0,2,5,47
AI상호작용_이해잘함,AI가 내가 묻고 싶은 걸 잘 이해해줬다,4.297872340425532,0.9535948829246388,5.0,1,5,47
자기조절_모르는지앎,공부할 때 내가 뭘 모르는지 정확히 안다,4.297872340425532,0.9981481465590095,5.0,1,5,47
메타인지_혼자풀수있음,AI와 대화하다 보니 문제를 혼자 힘으로 풀 수 있었다,4.127659574468085,1.0757610304498846,5.0,1,5,47
질문능력_상황설명함,"질문할 때 ""나는 지금 이런 상황이야""라고 설명도 같이 한다",4.1063829787234045,1.1079562570472106,5.0,2,5,47
개념이해_자기검증,내가 쓴 증명이 맞는지 스스로 확인할 수 있다,4.085106382978723,0.9048129096559747,4.0,2,5,47
자기조절_질문만듦,어려운 내용이 나오면 스스로 질문을 만들어본다,3.893617021276596,1.2551466665241104,4.0,1,5,47
