category,item,item_full,gemini_anthropic_r,gemini_anthropic_p,gemini_openai_r,gemini_openai_p,anthropic_openai_r,anthropic_openai_p,avg_correlation
A1,concept_accuracy,A1_math_expertise_concept_accuracy,0.5866066452096586,1.1984913359561287e-27,0.5840186888970716,2.3052008219674023e-27,0.6607661360043606,5.227741473549324e-37,0.6104638233703635
A1,curriculum_hierarchy,A1_math_expertise_curriculum_hierarchy,0.26895814845923227,4.274488807175045e-06,0.2651491314811412,5.89819976795855e-06,0.17368573930521522,0.003319972581939936,0.23593100641519624
A1,terminology_appropriateness,A1_math_expertise_terminology_appropriateness,0.7026847480817752,1.3856967152273202e-43,0.6893014682017475,2.306135727772123e-41,0.7539851986716236,2.1434051264405346e-53,0.7153238049850489
A1,problem_direction_specificity,A1_math_expertise_problem_direction_specificity,0.5461333132538935,1.7632527725681477e-23,0.6439704239573849,1.164187985820556e-34,0.6395155755159834,4.616214705766255e-34,0.6098731042424206
A2,question_singularity,A2_question_structure_question_singularity,0.37388674907763,7.479619283364923e-11,0.48006922796373175,8.876591641595195e-18,0.4349371425332239,1.5515201399800203e-14,0.42963103985819523
A2,condition_completeness,A2_question_structure_condition_completeness,0.5141678374268999,1.446333804363072e-20,0.617320450999804,3.1877796907319805e-31,0.5870939739093743,1.0589050609439465e-27,0.5728607541120261
A2,sentence_logic,A2_question_structure_sentence_logic,0.5122075332120886,2.133734283114863e-20,0.41678966857622307,2.317036505826793e-13,0.33509121647304485,7.021198719824799e-09,0.42136280608711885
A2,intent_clarity,A2_question_structure_intent_clarity,0.5247090679874582,1.710935201508518e-21,0.5928232538142709,2.4308353039979235e-28,0.6111705259293077,1.7812983129219713e-30,0.5762342825770123
A3,current_stage_description,A3_learning_context_current_stage_description,0.84211957974194,1.3320816670596657e-77,0.9112334912127439,1.2157825792993974e-110,0.7662355365736415,4.193935680698852e-56,0.8398628691761084
A3,prior_learning_mention,A3_learning_context_prior_learning_mention,-0.007104896605856375,0.9051111373842707,0.4973427624099444,3.757299494326787e-19,-0.003533568904593648,0.9527240603919863,0.16223476563316477
A3,difficulty_specification,A3_learning_context_difficulty_specification,0.684771695282932,1.2235247141293871e-40,0.6732249133056496,7.528428670255959e-39,0.7578189987604513,3.1684314973387915e-54,0.7052718691163443
A3,learning_goal_presentation,A3_learning_context_learning_goal_presentation,0.29517996783036315,4.0658824073443417e-07,0.1740609120845529,0.0032516727480917363,0.12663115167295125,0.03290759179714629,0.1986240105292891
B1,level_based_approach,B1_learner_customization_level_based_approach,0.37565736773006253,5.989243351259923e-11,0.3974051038080169,3.4948491307054554e-12,0.5860568540847755,1.3778340266185938e-27,0.4530397752076183
B1,prior_knowledge_connection,B1_learner_customization_prior_knowledge_connection,0.10213017799211759,0.08579066521242004,0.3059618898956362,1.4397538177786116e-07,0.3667590691492446,1.8051077421330287e-10,0.2582837123456661
B1,difficulty_adjustment,B1_learner_customization_difficulty_adjustment,0.35549006514447834,6.959279605444743e-10,0.4049397984779154,1.2427647071134923e-12,0.7324898110281621,5.222413451247562e-49,0.49763989155018534
B1,personalized_feedback,B1_learner_customization_personalized_feedback,0.4506701212205504,1.3014599198252459e-15,0.5053183086962735,8.204528847074939e-20,0.6896292949847789,2.0413533112168098e-41,0.5485392416338676
B2,concept_hierarchy,B2_explanation_systematicity_concept_hierarchy,0.7232626851340149,2.9707042901642452e-47,0.7397280840511682,1.946374213556496e-50,0.8961494935266198,1.6493929097540738e-101,0.786380087570601
B2,stepwise_logic,B2_explanation_systematicity_stepwise_logic,0.7087914739764976,1.2199583389529718e-44,0.7422900767979239,5.916919846691516e-51,0.8737896453748899,2.77065260139947e-90,0.7749570653831038
B2,key_emphasis,B2_explanation_systematicity_key_emphasis,0.6591599689941909,8.899186464526809e-37,0.7146461981822416,1.1183825633155196e-45,0.8063157382067856,2.8662501729510455e-66,0.726707301794406
