id,session_id,evaluator,overall,q_total,r_total,c_total,q1,q2,q3,r1,r2,r3,c1,c2
1054,38,93,14,6,6,2,3,2,1,3,2,1,1,1
850,38,96,25,8,10,7,3,3,2,4,5,1,5,2
912,38,97,22,10,8,4,4,5,1,3,4,1,3,1
1038,40,93,8,3,3,2,1,1,1,1,1,1,1,1
1019,40,96,8,3,3,2,1,1,1,1,1,1,1,1
898,40,97,10,3,3,4,1,1,1,1,1,1,3,1
788,41,93,17,7,8,2,3,2,2,2,5,1,1,1
1011,41,96,17,5,8,4,1,2,2,3,4,1,3,1
885,41,97,23,10,9,4,4,5,1,3,5,1,3,1
1064,44,93,14,3,7,4,1,1,1,3,3,1,3,1
831,44,96,22,4,11,7,2,1,1,4,4,3,5,2
880,44,97,15,6,5,4,3,2,1,2,2,1,3,1
1082,46,93,8,3,3,2,1,1,1,1,1,1,1,1
998,46,96,8,3,3,2,1,1,1,1,1,1,1,1
890,46,97,14,8,3,3,4,3,1,1,1,1,2,1
1058,47,93,8,3,3,2,1,1,1,1,1,1,1,1
1005,47,96,8,3,3,2,1,1,1,1,1,1,1,1
923,47,97,12,6,3,3,3,2,1,1,1,1,2,1
1076,48,93,21,8,9,4,3,4,1,3,5,1,3,1
979,48,96,27,7,12,8,3,2,2,5,5,2,5,3
920,48,97,22,10,8,4,4,5,1,3,4,1,3,1
1067,50,93,14,6,5,3,3,2,1,3,1,1,2,1
980,50,96,8,3,3,2,1,1,1,1,1,1,1,1
938,50,97,13,7,3,3,3,3,1,1,1,1,2,1
1050,51,93,13,4,7,2,2,1,1,3,3,1,1,1
830,51,96,29,6,14,9,3,2,1,5,5,4,5,4
936,51,97,23,10,8,5,4,5,1,1,5,2,4,1
1100,53,93,16,4,8,4,2,1,1,3,4,1,3,1
973,53,96,30,5,15,10,2,2,1,5,5,5,5,5
905,53,97,21,9,8,4,4,4,1,3,4,1,3,1
1077,60,93,19,8,7,4,3,4,1,3,3,1,3,1
846,60,96,31,9,14,8,3,4,2,5,5,4,5,3
889,60,97,22,10,8,4,4,5,1,3,4,1,3,1
